id,name,location,about,wifi,food,ac,parking,laundry,power_backup,security,cctv,rules,required_documents,owner_details,vacancies,price,property_type,capacity,rating
0,hst_hyd_0,Hyderabad,Premium hostel with modern amenities,1,1,1,1,1,1,1,1,No smoking in rooms,Aadhar required,John Doe,2,3500,hostel,4,4.5
1,hst_hyd_1,Hyderabad,Budget friendly option near Old City,1,1,0,1,0,1,1,1,Strict curfew,ID proof required,Sarah Khan,3,2500,hostel,3,3.8
2,hst_hyd_2,Hyderabad,Downtown location with great connectivity,1,1,1,0,1,1,1,1,Quiet hours after 10pm,Aadhar and PAN,Mike Johnson,2,2800,pg,2,4.2
3,hst_hyd_3,Hyderabad,Cozy stay near HITEC City,0,1,1,1,1,1,0,1,No outsiders allowed,ID proof,Priya Sharma,1,4200,pg,1,3.9
4,hst_hyd_4,Hyderabad,Business traveler friendly,1,1,1,1,1,1,1,1,Key card access,Multiple IDs,Ahmed Hassan,3,5500,hostel,2,4.6
5,hst_hyd_5,Hyderabad,Shared kitchen facility,1,0,1,1,0,1,1,1,Community rules apply,Valid ID,Lisa Wong,3,3000,hostel,2,3.7
6,hst_hyd_6,Hyderabad,Close to university campus,0,1,1,0,1,1,0,1,Student friendly,Student ID,Raj Kumar,2,2200,hostel,2,3.5
7,hst_hyd_7,Hyderabad,Peaceful environment,1,0,1,0,1,0,0,1,Quiet zone,Aadhar,Maria Garcia,1,4100,pg,1,3.6
8,hst_hyd_8,Hyderabad,Family accommodations available,0,1,1,1,1,1,1,0,Family friendly,Aadhar and PAN,Ram Singh,0,3200,pg,3,4.0
9,hst_hyd_9,Hyderabad,Ground floor rooms,1,0,0,1,0,1,0,0,No complaints after 9pm,ID proof,Fatima Ali,2,2700,hostel,2,3.4
10,hst_hyd_10,Hyderabad,Recently renovated,0,1,0,0,1,1,1,0,Well maintained,Valid ID,Robert Chen,1,3600,others,2,3.8
11,hst_hyd_11,Hyderabad,Lush green surroundings,1,1,0,0,0,0,0,1,Garden access,Aadhar,Sophia Martinez,3,6200,hostel,4,4.1
12,hst_hyd_12,Hyderabad,Pet friendly hostel,0,1,0,1,1,1,0,0,Pets allowed,ID and pet docs,James Wilson,1,2900,hostel,1,3.9
13,hst_hyd_13,Hyderabad,Prime location in CBD,1,0,1,0,1,1,0,1,Business hours friendly,Aadhar,Anjali Patel,0,3700,others,3,4.3
14,hst_hyd_14,Hyderabad,Rooftop with city view,1,1,1,0,1,0,1,1,Rooftop access hours,Multiple IDs,David Brown,3,3500,pg,3,4.4
15,hst_hyd_15,Hyderabad,Walking distance to metro,0,0,0,1,1,0,0,1,Metro friendly,ID proof,Neha Singh,0,2600,pg,1,3.2
16,hst_hyd_16,Hyderabad,WiFi throughout building,0,1,0,0,0,1,1,0,Tech friendly,Aadhar,Carlos Lopez,3,3400,pg,4,3.7
17,hst_hyd_17,Hyderabad,Laundry service included,1,0,1,1,1,1,0,1,Weekly laundry,ID proof,Nina Gupta,1,4000,pg,2,4.2
18,hst_blr_0,Bangalore,IT hub location,0,1,0,0,0,0,0,0,Professional environment,Aadhar,Vikram Desai,3,3800,pg,4,4.0
19,hst_blr_1,Bangalore,Startup ecosystem,0,1,1,0,1,1,0,1,Networking space available,ID proof,Alicia Torres,2,5600,pg,3,4.1
20,hst_blr_2,Bangalore,Koramangala hotspot,1,1,0,0,0,0,0,1,Nightlife friendly,Aadhar,Thomas Anderson,2,2700,pg,4,3.9
21,hst_blr_3,Bangalore,Whitefield area base,1,1,0,0,0,1,0,1,Tech city location,ID proof,Jessica Davis,2,2200,others,3,3.6
22,hst_blr_4,Bangalore,Indiranagar gem,0,0,1,0,1,1,1,1,Artsy neighborhood,Aadhar and PAN,Nathan Evans,0,2400,pg,2,3.8
23,hst_blr_5,Bangalore,Jayanagar comfort,0,0,1,0,1,1,1,1,Residential area,ID proof,Linda Harris,2,3400,others,4,3.7
24,hst_blr_6,Bangalore,JP Nagar lifestyle,1,0,0,0,1,0,1,1,Family zone,Aadhar,Michael Green,3,4800,pg,1,3.5
25,hst_blr_7,Bangalore,HSR Layout stay,0,0,1,0,1,0,1,1,Quiet and peaceful,Valid ID,Patricia Robinson,3,3100,pg,1,4.2
26,hst_blr_8,Bangalore,Bellandur tech park,0,0,1,1,0,1,0,1,Business friendly,Aadhar,Christopher Lee,1,2300,pg,3,4.3
27,hst_blr_9,Bangalore,Marathahalli offices,1,0,1,1,1,0,1,0,Work commute friendly,ID proof,Margaret White,1,2100,hostel,2,3.9
28,hst_blr_10,Bangalore,BTM Layout central,1,0,0,1,0,1,0,0,Shopping nearby,Aadhar,Steven Hall,3,2500,hostel,1,3.8
29,hst_blr_11,Bangalore,Yeshwantpur workspace,1,0,0,1,0,1,0,1,Industrial area access,ID proof,Diana Mitchell,3,2700,hostel,4,3.4
30,hst_blr_12,Bangalore,Cubbon Park views,0,1,1,1,1,0,0,0,Central location premium,Aadhar and PAN,Kevin Baker,1,4100,pg,4,4.0
31,hst_blr_13,Bangalore,Richmond Town stay,1,1,0,1,0,0,1,0,Heritage location,ID proof,Jennifer Taylor,3,2300,pg,2,3.9
32,hst_blr_14,Bangalore,Ulsoor Lake access,1,0,1,0,0,1,1,1,Lake view rooms,Aadhar,Anthony Anderson,2,6200,hostel,1,4.3
33,hst_blr_15,Bangalore,Frazer Town escape,1,0,1,1,0,1,0,0,Calm atmosphere,ID proof,Carol Thomas,3,5100,pg,1,3.7
34,hst_chn_0,Chennai,Marina Beach close,0,1,0,0,0,1,0,0,Beach access,Aadhar,Edward Jackson,3,3600,pg,4,3.9
35,hst_chn_1,Chennai,Nungambakkam hub,0,1,1,0,1,1,0,1,Commercial area,ID proof,Dorothy Martinez,2,5400,pg,3,4.0
36,hst_chn_2,Chennai,T. Nagar shopping,1,1,0,0,0,0,0,1,Shopping district,Aadhar,Richard Brown,2,2500,pg,4,3.8
37,hst_chn_3,Chennai,Thiruvanmiyur coast,1,1,0,0,0,1,0,1,Seaside location,ID proof,Susan Lee,2,2100,others,3,3.7
